,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other
57400,United Kingdom,GBR,1820,2.004199,2.004199,0,0,,0,
57401,United Kingdom,GBR,1821,2.018163,2.018163,0,0,,0,
57402,United Kingdom,GBR,1822,2.064582,2.064582,0,0,,0,
57403,United Kingdom,GBR,1823,2.110432,2.110432,0,0,,0,
57404,United Kingdom,GBR,1824,2.148292,2.148292,0,0,,0,
57405,United Kingdom,GBR,1825,2.183619,2.183619,0,0,,0,
57406,United Kingdom,GBR,1826,2.178711,2.178711,0,0,,0,
57407,United Kingdom,GBR,1827,2.236203,2.236203,0,0,,0,
57408,United Kingdom,GBR,1828,2.233881,2.233881,0,0,,0,
57409,United Kingdom,GBR,1829,2.232687,2.232687,0,0,,0,
57410,United Kingdom,GBR,1830,2.805594,2.805594,0,0,,0,
57411,United Kingdom,GBR,1831,2.639305,2.639305,0,0,,0,
57412,United Kingdom,GBR,1832,2.534383,2.534383,0,0,,0,
57413,United Kingdom,GBR,1833,2.483247,2.483247,0,0,,0,
57414,United Kingdom,GBR,1834,2.611817,2.611817,0,0,,0,
57415,United Kingdom,GBR,1835,2.836611,2.836611,0,0,,0,
57416,United Kingdom,GBR,1836,3.054425,3.054425,0,0,,0,
57417,United Kingdom,GBR,1837,2.897937,2.897937,0,0,,0,
57418,United Kingdom,GBR,1838,2.806161,2.806161,0,0,,0,
57419,United Kingdom,GBR,1839,2.861691,2.861691,0,0,,0,
57420,United Kingdom,GBR,1840,3.020784,3.020784,0,0,,0,
57421,United Kingdom,GBR,1841,3.011791,3.011791,0,0,,0,
57422,United Kingdom,GBR,1842,3.123259,3.123259,0,0,,0,
57423,United Kingdom,GBR,1843,3.219423,3.219423,0,0,,0,
57424,United Kingdom,GBR,1844,3.381506,3.381506,0,0,,0,
57425,United Kingdom,GBR,1845,3.558432,3.558432,0,0,,0,
57426,United Kingdom,GBR,1846,3.377677,3.377677,0,0,,0,
57427,United Kingdom,GBR,1847,3.621272,3.621272,0,0,,0,
57428,United Kingdom,GBR,1848,3.93664,3.93664,0,0,,0,
57429,United Kingdom,GBR,1849,4.278323,4.278323,0,0,,0,
57430,United Kingdom,GBR,1850,4.501312,4.501312,0,0,,0,
57431,United Kingdom,GBR,1851,4.320326,4.320326,0,0,,0,
57432,United Kingdom,GBR,1852,4.284149,4.284149,0,0,,0,
57433,United Kingdom,GBR,1853,4.233634,4.233634,0,0,,0,
57434,United Kingdom,GBR,1854,5.064938,5.064938,0,0,,0,
57435,United Kingdom,GBR,1855,4.699764,4.699764,0,0,,0,
57436,United Kingdom,GBR,1856,5.006834,5.006834,0,0,,0,
57437,United Kingdom,GBR,1857,4.880908,4.880648,0.00026,0,,0,
57438,United Kingdom,GBR,1858,4.743982,4.743595,0.000387,0,,0,
57439,United Kingdom,GBR,1859,5.22341,5.223282,0.000128,0,,0,
57440,United Kingdom,GBR,1860,5.813848,5.813848,0,0,,0,
57441,United Kingdom,GBR,1861,6.009599,6.009473,0.000126,0,,0,
57442,United Kingdom,GBR,1862,5.764123,5.762005,0.002119,0,,0,
57443,United Kingdom,GBR,1863,6.082512,6.079544,0.002968,0,,0,
57444,United Kingdom,GBR,1864,6.497885,6.496166,0.001719,0,,0,
57445,United Kingdom,GBR,1865,6.829343,6.828126,0.001218,0,,0,
57446,United Kingdom,GBR,1866,6.984383,6.981845,0.002538,0,,0,
57447,United Kingdom,GBR,1867,7.110236,7.108438,0.001798,0,,0,
57448,United Kingdom,GBR,1868,6.9126,6.910937,0.001663,0,,0,
57449,United Kingdom,GBR,1869,7.186864,7.184745,0.002119,0,,0,
57450,United Kingdom,GBR,1870,7.276891,7.274207,0.002684,0,,0,
57451,United Kingdom,GBR,1871,7.638836,7.635482,0.003354,0,,0,
57452,United Kingdom,GBR,1872,7.999898,7.997484,0.002414,0,,0,
57453,United Kingdom,GBR,1873,8.225069,8.21892,0.006149,0,,0,
57454,United Kingdom,GBR,1874,7.913207,7.905316,0.007891,0,,0,
57455,United Kingdom,GBR,1875,8.267235,8.260095,0.007141,0,,0,
57456,United Kingdom,GBR,1876,8.163215,8.154166,0.00905,0,,0,
57457,United Kingdom,GBR,1877,8.217155,8.205042,0.012113,0,,0,
57458,United Kingdom,GBR,1878,7.985818,7.975128,0.01069,0,,0,
57459,United Kingdom,GBR,1879,7.947924,7.932863,0.01506,0,,0,
57460,United Kingdom,GBR,1880,8.581716,8.568276,0.01344,0,,0,
57461,United Kingdom,GBR,1881,8.939803,8.919561,0.020242,0,,0,
57462,United Kingdom,GBR,1882,8.946338,8.926044,0.020294,0,,0,
57463,United Kingdom,GBR,1883,9.244856,9.221084,0.023772,0,,0,
57464,United Kingdom,GBR,1884,8.932308,8.914564,0.017744,0,,0,
57465,United Kingdom,GBR,1885,8.754432,8.729812,0.02462,0,,0,
57466,United Kingdom,GBR,1886,8.603786,8.580276,0.02351,0,,0,
57467,United Kingdom,GBR,1887,8.755737,8.730408,0.025329,0,,0,
57468,United Kingdom,GBR,1888,9.033582,9.002883,0.030698,0,,0,
57469,United Kingdom,GBR,1889,9.280333,9.247121,0.033212,0,,0,
57470,United Kingdom,GBR,1890,9.417707,9.384082,0.033625,0,,0,
57471,United Kingdom,GBR,1891,9.535782,9.494395,0.041387,0,,0,
57472,United Kingdom,GBR,1892,9.257043,9.216112,0.040931,0,,0,
57473,United Kingdom,GBR,1893,8.215394,8.167131,0.048263,0,,0,
57474,United Kingdom,GBR,1894,9.318359,9.268103,0.050257,0,,0,
57475,United Kingdom,GBR,1895,9.320261,9.266171,0.05409,0,,0,
57476,United Kingdom,GBR,1896,9.494719,9.437258,0.05746,0,,0,
57477,United Kingdom,GBR,1897,9.652373,9.596753,0.055619,0,,0,
57478,United Kingdom,GBR,1898,9.580696,9.515549,0.065148,0,,0,
57479,United Kingdom,GBR,1899,10.167324,10.096781,0.070543,0,,0,
57480,United Kingdom,GBR,1900,10.199016,10.124766,0.07425,0,,0,
57481,United Kingdom,GBR,1901,9.887366,9.814153,0.073213,0,,0,
57482,United Kingdom,GBR,1902,10.184036,10.102523,0.081514,0,,0,
57483,United Kingdom,GBR,1903,10.178125,10.097032,0.081093,0,,0,
57484,United Kingdom,GBR,1904,10.138061,10.053106,0.084955,0,,0,
57485,United Kingdom,GBR,1905,10.182921,10.099294,0.083627,0,,0,
57486,United Kingdom,GBR,1906,10.455257,10.372531,0.082725,0,,0,
57487,United Kingdom,GBR,1907,10.827636,10.744282,0.083355,0,,0,
57488,United Kingdom,GBR,1908,10.469687,10.376351,0.093336,0,,0,
57489,United Kingdom,GBR,1909,10.469148,10.372774,0.096373,0,,0,
57490,United Kingdom,GBR,1910,10.458013,10.365834,0.092179,0,,0,
57491,United Kingdom,GBR,1911,10.633354,10.53655,0.096804,0,,0,
57492,United Kingdom,GBR,1912,10.035792,9.926499,0.109292,0,,0,
57493,United Kingdom,GBR,1913,10.916391,10.788208,0.128183,0,,0,
57494,United Kingdom,GBR,1914,10.492794,10.324509,0.168285,0,,0,
57495,United Kingdom,GBR,1915,10.56282,10.410615,0.152205,0,,0,
57496,United Kingdom,GBR,1916,10.901491,10.785145,0.116346,0,,0,
57497,United Kingdom,GBR,1917,10.751475,10.538931,0.212544,0,,0,
57498,United Kingdom,GBR,1918,10.023587,9.682794,0.340793,0,,0,
57499,United Kingdom,GBR,1919,9.802109,9.618335,0.183775,0,,0,
57500,United Kingdom,GBR,1920,10.054265,10.054265,0,0,,0,
57501,United Kingdom,GBR,1921,7.256419,7.235219,0.0212,0,,0,
57502,United Kingdom,GBR,1922,9.650741,9.613995,0.036746,0,,0,
57503,United Kingdom,GBR,1923,10.200308,10.140084,0.060224,0,,0,
57504,United Kingdom,GBR,1924,10.597415,10.51176,0.085655,0,,0,
57505,United Kingdom,GBR,1925,9.979295,9.881228,0.098067,0,,0,
57506,United Kingdom,GBR,1926,5.44683,5.339904,0.106926,0,,0,
57507,United Kingdom,GBR,1927,10.282998,10.143021,0.139976,0,,0,
57508,United Kingdom,GBR,1928,9.601994,9.460657,0.093654,0,0.047683,0,
57509,United Kingdom,GBR,1929,10.086569,9.956065,0.078941,0,0.051564,0,
57510,United Kingdom,GBR,1930,9.616571,9.480819,0.080683,0,0.055069,0,
57511,United Kingdom,GBR,1931,8.946748,8.823931,0.058609,0,0.064208,0,
57512,United Kingdom,GBR,1932,8.544291,8.433488,0.064684,0,0.046119,0,
57513,United Kingdom,GBR,1933,8.429805,8.31142,0.070886,0,0.047499,0,
57514,United Kingdom,GBR,1934,9.068779,8.927516,0.085346,0,0.055917,0,
57515,United Kingdom,GBR,1935,9.155648,9.010056,0.081773,0,0.063818,0,
57516,United Kingdom,GBR,1936,9.638622,9.47709,0.09121,0,0.070323,0,
57517,United Kingdom,GBR,1937,9.899359,9.734097,0.088948,0,0.076314,0,
57518,United Kingdom,GBR,1938,9.452562,9.260135,0.110243,0,0.082184,0,
57519,United Kingdom,GBR,1939,9.427942,9.32159,0.106352,0,,0,
57520,United Kingdom,GBR,1940,9.852442,9.764311,0.088131,0,,0,
57521,United Kingdom,GBR,1941,9.740574,9.604548,0.061629,0,0.074396,0,
57522,United Kingdom,GBR,1942,9.688015,9.573563,0.039062,7.60E-05,0.075314,0,
57523,United Kingdom,GBR,1943,9.32219,9.212005,0.038451,0,0.071734,0,
57524,United Kingdom,GBR,1944,9.017965,8.926701,0.044477,7.50E-05,0.046712,0,
57525,United Kingdom,GBR,1945,8.491407,8.39594,0.054012,7.40E-05,0.041381,0,
57526,United Kingdom,GBR,1946,8.861333,8.678298,0.115912,0,0.067122,0,
57527,United Kingdom,GBR,1947,9.31499,9.126224,0.118164,0,0.070602,0,
57528,United Kingdom,GBR,1948,9.508602,9.152454,0.270621,0,0.085527,0,
57529,United Kingdom,GBR,1949,9.642008,9.203477,0.346504,0,0.092027,0,
57530,United Kingdom,GBR,1950,10.004824,9.068519,0.838432,0,0.097873,0,
57531,United Kingdom,GBR,1951,10.846074,9.668519,1.075114,0.000292,0.10215,0,
57532,United Kingdom,GBR,1952,10.472577,9.304723,1.056703,0.000363,0.110788,0,
57533,United Kingdom,GBR,1953,10.649033,9.430958,1.106597,0.000433,0.111045,0,
57534,United Kingdom,GBR,1954,10.849723,9.494997,1.236215,0.000647,0.117863,0,
57535,United Kingdom,GBR,1955,11.270069,9.765603,1.381149,0.000501,0.122816,0,
57536,United Kingdom,GBR,1956,11.168914,9.624076,1.419453,0.000713,0.124673,0,
57537,United Kingdom,GBR,1957,11.042718,9.337449,1.587825,0.001205,0.116238,0,
57538,United Kingdom,GBR,1958,10.70645,8.831047,1.760399,0.002256,0.112748,0,
57539,United Kingdom,GBR,1959,10.463034,8.145966,2.193496,0.002595,0.120977,0,
57540,United Kingdom,GBR,1960,11.115083,8.527341,2.457891,0.002859,0.126992,0,
57541,United Kingdom,GBR,1961,11.13509,8.378204,2.619636,0.002842,0.134409,0,
57542,United Kingdom,GBR,1962,11.148759,8.2227,2.789562,0.004065,0.132433,0,
57543,United Kingdom,GBR,1963,11.276442,8.210031,2.93114,0.00541,0.129863,0,
57544,United Kingdom,GBR,1964,11.285723,7.913686,3.206848,0.009524,0.155665,0,
57545,United Kingdom,GBR,1965,11.471817,7.786687,3.499442,0.03108,0.154607,0,
57546,United Kingdom,GBR,1966,11.328244,7.392603,3.753484,0.03022,0.151938,0,
57547,United Kingdom,GBR,1967,10.788926,6.71471,3.865325,0.05061,0.158281,0,
57548,United Kingdom,GBR,1968,10.993232,6.712086,4.002984,0.113568,0.160144,0.00445,
57549,United Kingdom,GBR,1969,11.338446,6.639131,4.296176,0.22108,0.15535,0.026709,
57550,United Kingdom,GBR,1970,11.726423,6.341565,4.765029,0.415186,0.15151,0.053133,
57551,United Kingdom,GBR,1971,11.818837,6.110306,4.823943,0.666231,0.156588,0.061771,
57552,United Kingdom,GBR,1972,11.560067,5.229552,5.161641,0.939383,0.159162,0.07033,
57553,United Kingdom,GBR,1973,11.74322,5.267552,5.19723,1.014722,0.175975,0.08774,
57554,United Kingdom,GBR,1974,10.975319,4.683585,4.826734,1.212108,0.156461,0.096432,
57555,United Kingdom,GBR,1975,10.721182,4.908746,4.290188,1.268634,0.148513,0.105101,
57556,United Kingdom,GBR,1976,10.63796,4.88718,4.190956,1.31593,0.138787,0.105108,
57557,United Kingdom,GBR,1977,10.745194,4.819827,4.27132,1.404751,0.136012,0.113284,
57558,United Kingdom,GBR,1978,10.752227,4.607793,4.401925,1.449545,0.140127,0.152837,
57559,United Kingdom,GBR,1979,11.454919,5.004388,4.501266,1.585231,0.142037,0.221996,
57560,United Kingdom,GBR,1980,10.280014,4.628728,3.808714,1.56984,0.130209,0.142523,
57561,United Kingdom,GBR,1981,9.939641,4.635399,3.462118,1.58889,0.111797,0.141438,
57562,United Kingdom,GBR,1982,9.711941,4.335709,3.476426,1.653036,0.113776,0.132993,
57563,United Kingdom,GBR,1983,9.654329,4.375699,3.314668,1.71975,0.1175,0.126712,
57564,United Kingdom,GBR,1984,9.353447,3.13885,4.221503,1.760873,0.118094,0.114127,
57565,United Kingdom,GBR,1985,9.879895,4.136694,3.631954,1.905631,0.116739,0.088878,
57566,United Kingdom,GBR,1986,10.023534,4.380798,3.549132,1.908731,0.117243,0.067631,
57567,United Kingdom,GBR,1987,10.059908,4.562984,3.409101,1.891889,0.12488,0.071054,
57568,United Kingdom,GBR,1988,10.013472,4.385738,3.625163,1.858795,0.143776,0,
57569,United Kingdom,GBR,1989,10.189486,4.308196,3.900277,1.834576,0.146436,0,
57570,United Kingdom,GBR,1990,10.521595,4.416845,3.806994,1.984212,0.127516,0.118634,0.067394
57571,United Kingdom,GBR,1991,10.62445,4.421634,3.807399,2.121593,0.104502,0.109142,0.06018
57572,United Kingdom,GBR,1992,10.326096,4.134065,3.798464,2.126537,0.094878,0.112055,0.060097
57573,United Kingdom,GBR,1993,10.054433,3.602689,3.801784,2.38676,0.09584,0.115107,0.052253
57574,United Kingdom,GBR,1994,9.933511,3.381026,3.733373,2.517142,0.110197,0.1285,0.063274
57575,United Kingdom,GBR,1995,9.773095,3.136512,3.652576,2.662745,0.108491,0.143986,0.068785
57576,United Kingdom,GBR,1996,10.102875,2.979954,3.734465,3.056936,0.110479,0.149915,0.071126
57577,United Kingdom,GBR,1997,9.660192,2.656277,3.566397,3.139676,0.115201,0.123789,0.058851
57578,United Kingdom,GBR,1998,9.728953,2.63676,3.506841,3.274587,0.117015,0.127457,0.066293
57579,United Kingdom,GBR,1999,9.57871,2.35888,3.439282,3.500137,0.111381,0.105236,0.063793
57580,United Kingdom,GBR,2000,9.669215,2.454426,3.368527,3.570618,0.107594,0.109533,0.058518
57581,United Kingdom,GBR,2001,9.780857,2.598213,3.361719,3.556493,0.098894,0.109881,0.055657
57582,United Kingdom,GBR,2002,9.43925,2.387152,3.304323,3.487962,0.100888,0.104095,0.05483
57583,United Kingdom,GBR,2003,9.582912,2.566694,3.258978,3.494769,0.098367,0.093263,0.070842
57584,United Kingdom,GBR,2004,9.557824,2.461208,3.299433,3.529147,0.099617,0.093653,0.074765
57585,United Kingdom,GBR,2005,9.445231,2.451532,3.319563,3.402205,0.09839,0.099219,0.074322
57586,United Kingdom,GBR,2006,9.338998,2.645296,3.242946,3.192674,0.096915,0.086701,0.074467
57587,United Kingdom,GBR,2007,9.134187,2.462322,3.202059,3.207924,0.099852,0.088427,0.073603
57588,United Kingdom,GBR,2008,8.825938,2.254847,3.057871,3.282279,0.0843,0.076932,0.069709
57589,United Kingdom,GBR,2009,7.938318,1.828679,2.896113,3.021534,0.059785,0.07841,0.053796
57590,United Kingdom,GBR,2010,8.156537,1.880661,2.865652,3.217447,0.060421,0.075494,0.056862
57591,United Kingdom,GBR,2011,7.422031,1.851105,2.718749,2.658322,0.064735,0.070363,0.058757
57592,United Kingdom,GBR,2012,7.639657,2.319518,2.668732,2.47991,0.058361,0.057137,0.056
57593,United Kingdom,GBR,2013,7.427593,2.21542,2.577769,2.451269,0.062659,0.065565,0.054911
57594,United Kingdom,GBR,2014,6.774484,1.782111,2.570661,2.23073,0.06507,0.068485,0.057428
57595,United Kingdom,GBR,2015,6.47704,1.403586,2.618233,2.267548,0.067358,0.071157,0.049158
57596,United Kingdom,GBR,2016,6.083754,0.728421,2.649147,2.524431,0.069352,0.069432,0.042971
57597,United Kingdom,GBR,2017,5.863442,0.592279,2.646653,2.447557,0.066749,0.065107,0.045097
57598,United Kingdom,GBR,2018,5.715981,0.50096,2.605439,2.430799,0.065689,0.067382,0.045712
57599,United Kingdom,GBR,2019,5.462124,0.367074,2.530682,2.385805,0.066616,0.06414,0.047808
57600,United Kingdom,GBR,2020,4.865281,0.340137,2.147063,2.228173,0.058153,0.051337,0.040419
57601,United Kingdom,GBR,2021,5.164383,0.362859,2.269147,2.375921,0.06265,0.052484,0.041323
57602,United Kingdom,GBR,2022,4.720181,0.290046,2.259068,2.025045,0.060327,0.047945,0.037749
